returns,date
-0.0012617046213488007,2012-02-10 00:00:00+00:00
-0.04868702089276907,2012-02-11 00:00:00+00:00
0.022805471460786403,2012-02-12 00:00:00+00:00
0.0161975837255581,2012-02-13 00:00:00+00:00
-0.11886275118761545,2012-02-14 00:00:00+00:00
-0.030396027381249986,2012-02-15 00:00:00+00:00
-0.028193591743925824,2012-02-16 00:00:00+00:00
0.026049568701859656,2012-02-17 00:00:00+00:00
-0.07317560018269195,2012-02-18 00:00:00+00:00
0.026904911590982513,2012-02-19 00:00:00+00:00
0.009172836628616673,2012-02-20 00:00:00+00:00
0.02542252342301131,2012-02-21 00:00:00+00:00
-0.012589344990668652,2012-02-22 00:00:00+00:00
0.13740742672372463,2012-02-23 00:00:00+00:00
-0.04626161366721476,2012-02-24 00:00:00+00:00
0.008982510945029174,2012-02-25 00:00:00+00:00
-0.0035610174993483323,2012-02-26 00:00:00+00:00
0.010721230989212138,2012-02-27 00:00:00+00:00
-0.02828668126084991,2012-02-28 00:00:00+00:00
0.020013200387196457,2012-02-29 00:00:00+00:00
0.001783684615739149,2012-03-01 00:00:00+00:00
-0.03739068374315736,2012-03-02 00:00:00+00:00
-0.026040054861687326,2012-03-03 00:00:00+00:00
0.030573464313653074,2012-03-04 00:00:00+00:00
0.046698111327714315,2012-03-05 00:00:00+00:00
-0.014276700667695794,2012-03-06 00:00:00+00:00
-0.00905217308280563,2012-03-07 00:00:00+00:00
0.014615781516516648,2012-03-08 00:00:00+00:00
-0.014405237709461671,2012-03-09 00:00:00+00:00
0.0018269726895647292,2012-03-10 00:00:00+00:00
0.010941845684149082,2012-03-11 00:00:00+00:00
-0.0018039029199786102,2012-03-12 00:00:00+00:00
0.05602204885685246,2012-03-13 00:00:00+00:00
-0.005133878222447219,2012-03-14 00:00:00+00:00
0.020641483753710804,2012-03-15 00:00:00+00:00
-0.021909365586054733,2012-03-16 00:00:00+00:00
0.02756940111705271,2012-03-17 00:00:00+00:00
-0.02850657936585601,2012-03-18 00:00:00+00:00
-0.07249459246341564,2012-03-19 00:00:00+00:00
-0.007443888569464118,2012-03-20 00:00:00+00:00
0.03187379137147786,2012-03-21 00:00:00+00:00
-0.00908506892937253,2012-03-22 00:00:00+00:00
-0.02383774678906827,2012-03-23 00:00:00+00:00
0.009392254330142069,2012-03-24 00:00:00+00:00
-0.05396819212861446,2012-03-25 00:00:00+00:00
0.03749201922818106,2012-03-26 00:00:00+00:00
0.020955610874993723,2012-03-27 00:00:00+00:00
0.01679358007751078,2012-03-28 00:00:00+00:00
-0.016516213719829545,2012-03-29 00:00:00+00:00
0.0074638133677826,2012-03-30 00:00:00+00:00
0.0037042587876345606,2012-03-31 00:00:00+00:00
-0.0018452939474966298,2012-04-01 00:00:00+00:00
0.02773058028440579,2012-04-02 00:00:00+00:00
-0.008994114740568071,2012-04-03 00:00:00+00:00
0.0036302972058389333,2012-04-04 00:00:00+00:00
-0.0018085829094367455,2012-04-05 00:00:00+00:00
-0.0018118598081201364,2012-04-06 00:00:00+00:00
-0.05263930948466434,2012-04-07 00:00:00+00:00
0.011451445344537146,2012-04-08 00:00:00+00:00
-0.0019047625267025494,2012-04-09 00:00:00+00:00
0.009541987854407939,2012-04-10 00:00:00+00:00
0.022684317369751267,2012-04-11 00:00:00+00:00
0.0018484294211868512,2012-04-12 00:00:00+00:00
0.0,2012-04-13 00:00:00+00:00
0.005535057101166676,2012-04-14 00:00:00+00:00
0.005504588887356839,2012-04-15 00:00:00+00:00
-0.001824818089077695,2012-04-16 00:00:00+00:00
0.0,2012-04-17 00:00:00+00:00
0.03290677448072349,2012-04-18 00:00:00+00:00
-0.005309736124260695,2012-04-19 00:00:00+00:00
0.04448399933371993,2012-04-20 00:00:00+00:00
-0.023850092143847028,2012-04-21 00:00:00+00:00
-0.012216408541300534,2012-04-22 00:00:00+00:00
-0.03003534478573966,2012-04-23 00:00:00+00:00
0.014571953548193359,2012-04-24 00:00:00+00:00
0.010771996133861013,2012-04-25 00:00:00+00:00
-0.028419191601569846,2012-04-26 00:00:00+00:00
0.010968924826907785,2012-04-27 00:00:00+00:00
-0.02350814471938656,2012-04-28 00:00:00+00:00
0.0,2012-04-29 00:00:00+00:00
0.01666667195748074,2012-04-30 00:00:00+00:00
-0.005464482580572478,2012-05-01 00:00:00+00:00
0.01648352165868782,2012-05-02 00:00:00+00:00
0.007207209433291165,2012-05-03 00:00:00+00:00
-0.005366727942713581,2012-05-04 00:00:00+00:00
-0.005395685116800252,2012-05-05 00:00:00+00:00
0.007233275298272817,2012-05-06 00:00:00+00:00
-0.005385998066930507,2012-05-07 00:00:00+00:00
-0.005415164130469455,2012-05-08 00:00:00+00:00
0.0,2012-05-09 00:00:00+00:00
-0.02722323895947518,2012-05-10 00:00:00+00:00
0.014925377907729439,2012-05-11 00:00:00+00:00
-0.007352943493490197,2012-05-12 00:00:00+00:00
0.005555557319160247,2012-05-13 00:00:00+00:00
-0.0018416212075414485,2012-05-14 00:00:00+00:00
0.0036900380674445383,2012-05-15 00:00:00+00:00
0.016544122860352846,2012-05-16 00:00:00+00:00
-0.0036166376491364727,2012-05-17 00:00:00+00:00
0.009074412986491942,2012-05-18 00:00:00+00:00
0.0,2012-05-19 00:00:00+00:00
-0.0071942468224002075,2012-05-20 00:00:00+00:00
0.009057973827425504,2012-05-21 00:00:00+00:00
-0.008976663444884136,2012-05-22 00:00:00+00:00
0.012681163358395678,2012-05-23 00:00:00+00:00
0.003577818628476018,2012-05-24 00:00:00+00:00
-0.007130126955905544,2012-05-25 00:00:00+00:00
-0.0017953326889767504,2012-05-26 00:00:00+00:00
0.0,2012-05-27 00:00:00+00:00
0.0,2012-05-28 00:00:00+00:00
0.0071942468224002075,2012-05-29 00:00:00+00:00
0.005357144497025133,2012-05-30 00:00:00+00:00
0.005328598425294465,2012-05-31 00:00:00+00:00
0.00883392493698215,2012-06-01 00:00:00+00:00
-0.005253942032649507,2012-06-02 00:00:00+00:00
0.0,2012-06-03 00:00:00+00:00
0.0052816917348587795,2012-06-04 00:00:00+00:00
0.026269710163248538,2012-06-05 00:00:00+00:00
0.006825940563342199,2012-06-06 00:00:00+00:00
0.020338988960265834,2012-06-07 00:00:00+00:00
0.013289040328967088,2012-06-08 00:00:00+00:00
-0.021311481398792954,2012-06-09 00:00:00+00:00
-0.010050254142107144,2012-06-10 00:00:00+00:00
0.016920478681129874,2012-06-11 00:00:00+00:00
0.03161398572270047,2012-06-12 00:00:00+00:00
0.024193555076315338,2012-06-13 00:00:00+00:00
0.006299214298938518,2012-06-14 00:00:00+00:00
0.08137717363046054,2012-06-15 00:00:00+00:00
-0.0014471783619083892,2012-06-16 00:00:00+00:00
-0.03188406589223284,2012-06-17 00:00:00+00:00
-0.019461082838419387,2012-06-18 00:00:00+00:00
0.0610687182725829,2012-06-19 00:00:00+00:00
0.02589928696361996,2012-06-20 00:00:00+00:00
0.0,2012-06-21 00:00:00+00:00
-0.007012624406900876,2012-06-22 00:00:00+00:00
-0.01977401608715787,2012-06-23 00:00:00+00:00
-0.007204612730593014,2012-06-24 00:00:00+00:00
-0.02031930839358933,2012-06-25 00:00:00+00:00
0.022222227865756953,2012-06-26 00:00:00+00:00
0.011594205778993779,2012-06-27 00:00:00+00:00
0.001432665108296277,2012-06-28 00:00:00+00:00
0.002861231030727851,2012-06-29 00:00:00+00:00
0.012838804851437855,2012-06-30 00:00:00+00:00
-0.012676059398534832,2012-07-01 00:00:00+00:00
0.012838804851437855,2012-07-02 00:00:00+00:00
-0.023943667752787612,2012-07-03 00:00:00+00:00
0.0,2012-07-04 00:00:00+00:00
0.02308802879913935,2012-07-05 00:00:00+00:00
-0.0014104375765592468,2012-07-06 00:00:00+00:00
0.0282485944102257,2012-07-07 00:00:00+00:00
-0.008241760182447327,2012-07-08 00:00:00+00:00
0.02908587948195155,2012-07-09 00:00:00+00:00
0.018842534629920662,2012-07-10 00:00:00+00:00
0.007926025572916372,2012-07-11 00:00:00+00:00
0.05897773277863715,2012-07-12 00:00:00+00:00
0.0,2012-07-13 00:00:00+00:00
-0.004950496099784008,2012-07-14 00:00:00+00:00
0.002487562719432611,2012-07-15 00:00:00+00:00
0.09057073886581465,2012-07-16 00:00:00+00:00
0.02844141624060717,2012-07-17 00:00:00+00:00
0.04977877050131913,2012-07-18 00:00:00+00:00
-0.025289783282648512,2012-07-19 00:00:00+00:00
-0.03459460100571559,2012-07-20 00:00:00+00:00
0.0335946313089247,2012-07-21 00:00:00+00:00
-0.0346695622352513,2012-07-22 00:00:00+00:00
0.01907968941715458,2012-07-23 00:00:00+00:00
0.0022026435876455696,2012-07-24 00:00:00+00:00
0.003296703917724006,2012-07-25 00:00:00+00:00
0.012048195033219616,2012-07-26 00:00:00+00:00
0.008658010264260005,2012-07-27 00:00:00+00:00
0.005364807853699487,2012-07-28 00:00:00+00:00
-0.01814301292435162,2012-07-29 00:00:00+00:00
0.03152174500383777,2012-07-30 00:00:00+00:00
0.029504747163090005,2012-07-31 00:00:00+00:00
0.017400207761293692,2012-08-01 00:00:00+00:00
0.09959760268938911,2012-08-02 00:00:00+00:00
0.032021962936211554,2012-08-03 00:00:00+00:00
-0.024822698807770088,2012-08-04 00:00:00+00:00
0.018181821015245538,2012-08-05 00:00:00+00:00
0.011607144633681711,2012-08-06 00:00:00+00:00
-0.007943513999731127,2012-08-07 00:00:00+00:00
0.021352316423722036,2012-08-08 00:00:00+00:00
0.0008710802694449172,2012-08-09 00:00:00+00:00
0.02785030876776733,2012-08-10 00:00:00+00:00
0.005080441042253275,2012-08-11 00:00:00+00:00
0.009267061152974666,2012-08-12 00:00:00+00:00
0.033388986413704344,2012-08-13 00:00:00+00:00
0.029079163961888484,2012-08-14 00:00:00+00:00
0.0596546391099975,2012-08-15 00:00:00+00:00
0.0303703742267853,2012-08-16 00:00:00+00:00
-0.06613947615944116,2012-08-17 00:00:00+00:00
-0.07390301206206804,2012-08-18 00:00:00+00:00
-0.2892768492007564,2012-08-19 00:00:00+00:00
0.2327485846763784,2012-08-20 00:00:00+00:00
0.012333967850396,2012-08-21 00:00:00+00:00
-0.020618560013572117,2012-08-22 00:00:00+00:00
0.005741627736117698,2012-08-23 00:00:00+00:00
0.03330162293876467,2012-08-24 00:00:00+00:00
0.018416209168461876,2012-08-25 00:00:00+00:00
-0.023508141075786818,2012-08-26 00:00:00+00:00
0.04351852542596923,2012-08-27 00:00:00+00:00
0.019520854788207993,2012-08-28 00:00:00+00:00
-0.01914708727784013,2012-08-29 00:00:00+00:00
-0.011535050556668383,2012-08-30 00:00:00+00:00
-0.04398564411141942,2012-08-31 00:00:00+00:00
-0.02347418218215858,2012-09-01 00:00:00+00:00
0.025961542740757605,2012-09-02 00:00:00+00:00
0.03467666911373506,2012-09-03 00:00:00+00:00
-0.01721014759982219,2012-09-04 00:00:00+00:00
0.05806452530281661,2012-09-05 00:00:00+00:00
0.0026132408083342547,2012-09-06 00:00:00+00:00
0.000868809860063915,2012-09-07 00:00:00+00:00
-0.005208334108354901,2012-09-08 00:00:00+00:00
0.0008726004795666343,2012-09-09 00:00:00+00:00
-0.0026155191354477465,2012-09-10 00:00:00+00:00
0.007867134045981139,2012-09-11 00:00:00+00:00
0.008673028175846339,2012-09-12 00:00:00+00:00
0.013757525673557203,2012-09-13 00:00:00+00:00
0.016963530880346026,2012-09-14 00:00:00+00:00
0.010842370190679221,2012-09-15 00:00:00+00:00
0.009900991499381933,2012-09-16 00:00:00+00:00
0.008169935784729798,2012-09-17 00:00:00+00:00
0.004862237304291837,2012-09-18 00:00:00+00:00
0.03306452069999759,2012-09-19 00:00:00+00:00
